2025-03-13 19:37:38 | DEBUG    | Test_add.setUpClass:23 | MainThread | This is a debug message
2025-03-13 19:37:38 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:38 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:38 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:38 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:38 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:38 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:39 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:39 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:39 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:40 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:40 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:40 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:41 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:41 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:41 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:42 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:42 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:42 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:43 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:43 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:43 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:44 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:44 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:44 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:44 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:44 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:44 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:45 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:45 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:45 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:46 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:46 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
2025-03-13 19:37:46 | CRITICAL | Test_add.test_add:34 | MainThread | This is a critical message
2025-03-13 19:37:47 | WARNING  | Test_add.test_add:32 | MainThread | This is a warning message
2025-03-13 19:37:47 | ERROR    | Test_add.test_add:33 | MainThread | This is an error message
